stem,card_name,issuer,document_type,effective_date,source_url
axis_atlas,Axis Atlas,Axis Bank,terms_and_rewards,2026-01-01,https://www.axisbank.com/
hdfc_diners_club_black,HDFC Diners Club Black,HDFC Bank,terms_and_rewards,2026-01-01,https://www.hdfcbank.com/
hdfc_infinia,HDFC Infinia,HDFC Bank,terms_and_rewards,2026-01-01,https://www.hdfcbank.com/
amex_platinum_travel,American Express Platinum Travel,American Express,terms_and_rewards,2026-01-01,https://www.americanexpress.com/in/
sbi_cashback,SBI Cashback,SBI Card,terms_and_rewards,2026-01-01,https://www.sbicard.com/
